Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
D. Krasniqi,Dion Krasniqi,56,375000,ST,ST,Sweden,18,184,78,305,Varbergs BoIS FC,500,703000,SUB,2026,35,2022,-,Right,3,2,1,-,-,-,Medium,Medium,73,55,38,53,22,64
Paik Sang Hoon,Sang Hoon Paik,56,350000,CM,CM,Korea Republic,20,173,70,309,FC Seoul,1000,508000,CM,2022,35,2021,-,Right,3,3,1,-,-,-,Medium,Medium,60,44,56,57,44,48
Zhang Yan,Yan Zhang,56,160000,GK,GK,China PR,25,184,78,308,Chengdu Rongcheng F.C.,1000,260000,SUB,2025,33,2022,-,Right,2,1,1,-,-,-,Medium,Medium,59,53,52,58,32,54
M. Al Moqahwi,Mohammed Al Moqahwi,56,140000,GK,GK,Saudi Arabia,26,179,70,314,Al Adalah,2000,242000,RES,2025,73,2016,-,Right,3,1,1,-,-,-,Medium,Medium,57,53,53,58,39,54
J. Grey,Joe Grey,56,350000,"LW,ST",ST,England,19,176,73,309,Hartlepool United,1000,831000,SUB,2025,12,2020,-,Right,3,2,1,-,-,-,High,Low,78,53,40,60,23,55
A. Salaou,Abundance Salaou,56,350000,CDM,CDM,Côte d'Ivoire,17,183,77,301,IFK Göteborg,500,656000,SUB,2026,24,2022,-,Right,3,2,1,-,-,-,Medium,Medium,63,27,51,55,51,54
J. Kindberg,Jakob Kindberg,56,130000,GK,GK,Sweden,28,184,80,312,Kalmar FF,600,172000,SUB,2022,30,2022,-,Right,1,1,1,-,-,-,Medium,Medium,53,55,61,60,27,56
Lee Ji Hoon,Ji Hoon Lee,56,375000,"RM,LM",RM,Korea Republic,20,177,71,303,Sangju Sangmu FC,1000,0,SUB,2023,37,2021,TRUE,Right,3,3,1,-,-,-,Medium,Medium,68,45,48,61,29,52
L. Sousa,Lino Sousa,56,425000,LB,LB,England,17,185,70,305,Arsenal,500,1200000,RES,2024,96,2022,-,Left,2,2,1,-,-,-,Medium,Medium,65,34,45,54,54,53
A. Sandach,Adrian Sandach,56,300000,GK,GK,Poland,18,190,77,308,Korona Kielce,500,465000,RES,2023,12,2020,-,Right,2,1,1,-,-,-,Medium,Medium,57,61,56,57,22,55
S. Tovide,Samson Tovide,56,325000,"ST,RM",ST,England,18,188,78,341,Colchester United,1000,772000,RES,2024,34,2020,-,Left,2,2,1,-,-,-,High,Medium,79,55,44,58,33,72
Liu Yue,Yue Liu,56,180000,"LM,CM",LM,China PR,24,174,63,304,Shenzhen FC,2000,293000,SUB,2024,20,2020,-,Right,3,2,1,-,-,-,Medium,Medium,73,50,49,55,31,46
I. Altuntas,Ilhan Altuntas,56,300000,"RB,CB",CB,Germany,19,182,77,295,Viktoria Köln,550,495000,RES,2023,36,2021,-,Right,3,2,1,-,-,-,Medium,Medium,63,25,43,51,55,58
C. Peupion,Cameron Peupion,56,375000,CAM,CAM,Australia,19,175,76,312,Brighton & Hove Albion,5000,947000,RES,2024,51,2021,-,Right,3,2,1,-,-,-,Medium,Medium,57,44,60,58,41,52
M. Kurt,Mert Kurt,56,375000,ST,CAM,Turkey,19,180,73,301,GZT Giresunspor,2000,966000,SUB,2025,75,2022,-,Right,3,2,1,-,-,-,High,Low,60,59,50,62,22,48
K. Lloyd,Kieran Lloyd,56,325000,"RWB,RB",RWB,England,19,170,70,301,Wigan Athletic,950,666000,RES,2023,35,2021,-,Right,3,2,1,-,-,-,High,Medium,70,29,45,53,51,53
Y. Sunbul,Yahya Sunbul,56,220000,"LW,RW",RM,Saudi Arabia,24,175,72,305,Al Raed,3000,380000,SUB,2024,45,2021,-,Right,3,2,1,-,-,-,Medium,Low,74,48,51,60,34,38
S. Cissé,Souleymane Cissé,56,325000,CB,CB,France,19,190,82,273,Clermont Foot 63,1000,715000,RES,2023,13,2022,-,Right,2,2,1,-,-,-,Medium,Medium,49,35,36,36,57,60
V. Schwab,Vincent Schwab,56,300000,CB,CB,Germany,18,191,73,269,SV Sandhausen,500,668000,SUB,2027,31,2021,-,Left,2,2,1,-,-,-,Medium,Medium,52,29,37,35,56,60
A. Al Hajeri,Abdulrahman Al Hajeri,56,170000,"LB,CDM",LWB,Saudi Arabia,26,179,71,313,Al Wehda,4000,293000,SUB,2025,18,2022,-,Left,2,2,1,-,-,-,Medium,Medium,65,39,49,52,53,55
R. Ali,Rahim Ali,56,325000,"ST,RM",ST,India,22,184,75,315,Chennaiyin FC,500,504000,SUB,2024,11,2018,-,Right,3,2,1,-,-,-,High,Low,76,53,46,56,24,60
Wang Yaopeng,Yaopeng Wang,56,160000,CB,CB,China PR,27,187,80,295,Dalian Professional Football Club,2000,260000,SUB,2027,13,2014,-,Right,2,2,1,-,-,-,Medium,Medium,64,27,33,49,56,66
H. Mondal,Hira Mondal,56,170000,"LB,RB",LB,India,25,167,65,315,Bengaluru FC,500,242000,SUB,2024,20,2022,-,Left,4,2,1,-,-,-,High,Medium,69,36,41,46,52,71
D. Bauer,Dominik Bauer,56,300000,CB,CB,Germany,19,189,86,268,SV Wehen Wiesbaden,700,495000,SUB,2023,39,2022,-,Right,2,2,1,-,-,-,Medium,Medium,55,26,29,35,55,68
L. Rocrou,Lucas Rocrou,56,300000,"RW,ST",ST,France,19,179,67,308,FC Girondins de Bordeaux,950,600000,SUB,2027,97,2020,-,Right,3,2,1,-,-,-,Medium,Medium,73,55,46,58,26,50
T. Magnin,Théo Magnin,56,325000,RB,RB,Switzerland,18,171,65,297,Servette FC,750,674000,RES,2024,20,2021,-,Right,3,2,1,-,-,-,Medium,High,65,33,40,58,54,47
L. Pirringuel,Lenny Pirringuel,56,350000,CM,RM,France,18,176,72,320,FC Girondins de Bordeaux,500,849000,SUB,2023,17,2021,-,Right,4,2,1,-,-,-,Medium,Medium,68,44,58,59,41,50
I. Lewandowski,Igor Lewandowski,56,300000,CDM,CB,Poland,20,176,71,316,Miedź Legnica,550,465000,SUB,2023,88,2020,-,Right,2,2,1,-,-,-,Medium,High,63,37,51,52,54,59
N. El Hassani,Nacim El Hassani,56,325000,CM,CAM,France,22,176,68,314,Chamois Niortais Football Club,1000,634000,SUB,2024,28,2022,-,Left,3,2,1,-,-,-,Medium,Medium,68,44,59,63,42,38
B. Diallo,Baïla Diallo,56,300000,"LB,LM",LB,France,21,176,70,300,Clermont Foot 63,2000,660000,RES,2024,31,2021,-,Left,2,2,1,-,-,-,High,Medium,73,34,49,55,52,37
M. Kucheriavyi,Maksym Kucheriavyi,56,375000,"RW,LW,CAM",LM,Ukraine,20,165,77,310,St. Johnstone FC,1000,891000,SUB,2024,27,2021,-,Left,3,2,1,-,-,-,High,Low,73,51,53,58,33,42
J. Pedersen,Jeppe Pedersen,56,325000,CM,RM,Denmark,21,181,72,324,Aalborg BK,2000,471000,SUB,2023,28,2019,-,Right,3,2,1,-,-,-,High,Medium,67,46,55,59,44,53
N. Allen,Noah Allen,56,350000,"LB,LWB",LB,United States,18,175,72,309,Inter Miami CF,500,726000,SUB,2022,32,2022,-,Left,2,2,1,-,-,-,Medium,Medium,73,29,45,58,50,54
L. Tagesson,Linus Tagesson,56,325000,RB,RWB,Sweden,20,178,67,295,Djurgårdens IF,950,609000,SUB,2022,26,2020,-,Right,3,2,1,-,-,-,High,Medium,66,25,51,54,46,53
Duan Yunzi,Yunzi Duan,56,170000,ST,ST,China PR,27,180,70,304,Wuhan Three Towns,3000,276000,RES,2027,6,2022,-,Right,4,2,1,-,-,-,Medium,Medium,73,57,44,52,23,55
Z. Labyad,Zinedine Labyad,56,325000,"ST,RW",ST,France,22,180,74,284,Grenoble Foot 38,1000,634000,RES,2023,32,2021,-,Right,3,2,1,-,-,-,Medium,Medium,62,57,40,55,22,48
Yang Fan,Fan Yang,56,180000,"CB,RB",CB,China PR,26,185,72,315,Tianjin Jinmen Tiger FC,2000,293000,CB,2022,4,2022,-,Right,3,2,1,-,-,-,Medium,High,61,31,50,56,57,60
E. King,Eli King,56,375000,CM,CAM,Wales,19,188,80,331,Crewe Alexandra,3000,0,CDM,2023,20,2021,TRUE,Right,3,2,1,-,-,-,Medium,Medium,64,46,55,58,49,59
J. Wakeling,Jacob Wakeling,56,220000,"ST,LW",ST,England,20,178,76,303,Swindon Town,2000,429000,ST,2024,24,2022,-,Left,2,2,1,-,-,-,Medium,Medium,65,56,47,57,20,58
A. Vitelli,Arthur Vitelli,56,300000,CB,CB,France,22,189,81,258,En Avant de Guingamp,1000,585000,RES,2023,3,2022,-,Right,2,2,1,-,-,-,Low,Medium,39,26,39,34,56,64
J. N'Duquidi,Joseph N'Duquidi,56,450000,CM,CM,France,17,185,74,343,FC Metz,500,1300000,RES,2024,34,2021,-,Right,3,2,1,-,-,-,Medium,Medium,68,44,56,60,56,59
J. Hall,Jordon Hall,56,170000,CB,CB,England,24,188,82,283,Melbourne City FC,2000,225000,SUB,2023,18,2021,-,Right,2,2,1,-,-,-,Low,Medium,58,25,37,39,54,70
H. Far,Hatim Far,56,350000,ST,ST,France,20,179,73,285,Rodez Aveyron Football,800,683000,RES,2025,27,2021,-,Left,3,2,1,-,-,-,Medium,Medium,64,60,42,53,21,45
S. Brynn,Sol Brynn,56,275000,GK,GK,England,21,184,80,313,Swindon Town,2000,0,GK,2023,1,2017,TRUE,Right,2,1,1,-,-,-,Medium,Medium,54,58,58,57,31,55
P. Saathof,Pim Saathof,56,350000,"CM,CAM,CDM",CAM,Netherlands,18,177,68,326,Go Ahead Eagles,550,726000,RES,2023,28,2022,-,Right,2,2,1,-,-,-,High,Medium,65,48,54,60,48,51
H. Johansson,Herman Johansson,56,230000,"ST,RW",ST,Sweden,24,190,82,322,Mjällby AIF,700,334000,SUB,2023,14,2021,-,Right,3,2,1,-,-,-,Medium,Medium,61,53,45,55,40,68
E. Brierley,Ethan Brierley,56,325000,CM,CAM,England,18,173,71,336,Rochdale,800,772000,SUB,2024,14,2019,-,Right,2,2,1,-,-,-,Medium,Medium,71,46,54,57,52,56
Y. Erdoğan,Yusuf Erdoğan,56,300000,CDM,CDM,Turkey,22,175,71,332,Fatih Karagümrük S.K.,3000,660000,RES,2024,76,2019,-,Left,3,2,1,-,-,-,High,High,65,51,56,55,53,52
B. Hockenhull,Ben Hockenhull,56,300000,CB,CB,England,20,186,77,290,Tranmere Rovers,2000,585000,RES,2024,15,2022,-,Right,3,2,1,-,-,-,Medium,Medium,65,27,40,44,58,56
L. Jendal,Lars Larsson Jendal,56,240000,GK,GK,Norway,23,193,85,307,Hamarkameratene,500,348000,SUB,2022,1,2015,-,Right,3,1,1,-,-,-,Medium,Medium,56,55,56,56,29,55
Lim Seung Gyeom,Seung Gyeom Lim,56,160000,CB,CB,Korea Republic,27,184,74,265,Sangju Sangmu FC,800,212000,CB,2024,33,2021,-,Right,3,2,1,-,-,-,Medium,Medium,58,24,34,32,58,59
J. Janneh,Jocelyn Janneh,56,325000,CDM,CB,Sierra Leone,19,178,72,322,SC Bastia,500,772000,SUB,2025,66,2022,-,Left,3,2,1,-,-,-,Medium,Medium,64,42,50,49,57,60
L. Bergström,Lucas Bergström,56,325000,GK,GK,Finland,19,200,84,305,Peterborough United,700,772000,GK,2024,1,2021,-,Right,2,1,1,-,-,-,Medium,Medium,57,56,58,57,23,54
R. McAlear,Reece McAlear,56,275000,"CAM,CM",RM,Scotland,20,185,75,330,Tranmere Rovers,2000,536000,CM,2024,8,2022,-,Right,3,2,1,-,-,-,Medium,Medium,62,52,56,58,44,58
J. Haak,Justin Haak,56,350000,CM,CAM,United States,20,184,75,305,New York City FC,1000,744000,SUB,2025,80,2019,-,Right,3,2,1,-,-,-,Medium,Medium,47,39,55,60,53,51
A. Amenda,Aurèle Amenda,56,375000,CB,CB,Switzerland,18,194,90,282,BSC Young Boys,900,938000,SUB,2025,4,2022,-,Right,3,2,1,-,-,-,Medium,Medium,64,27,30,33,54,74
M. Soosairaj,Michael Soosairaj,56,150000,"LM,LB",LM,India,27,174,64,330,Odisha FC,500,203000,LB,2024,23,2022,-,Right,3,2,1,-,-,-,High,Medium,72,50,52,54,47,55
D. Grimes,Dylan Grimes,56,190000,"RM,LM,CAM",CAM,Republic of Ireland,24,177,74,312,Drogheda United,500,309000,CAM,2022,10,2021,-,Right,3,3,1,-,-,-,High,Medium,69,50,52,58,32,51
Chen Kerui,Kerui Chen,56,190000,"CM,ST,CDM",RM,China PR,26,183,73,331,Shandong Taishan,3000,318000,RES,2025,19,2016,-,Right,3,2,1,-,-,-,Medium,Medium,67,50,55,59,42,58
E. Dobbelaere,Ethan Dobbelaere,56,300000,"RM,RW,RWB",RM,United States,19,175,64,305,Seattle Sounders FC,800,510000,SUB,2023,45,2020,-,Right,3,2,1,-,-,-,High,Medium,74,43,48,61,38,41
Chen Wei,Wei Chen,56,170000,GK,GK,China PR,24,188,80,299,Shanghai Port FC,2000,276000,SUB,2024,12,2017,-,Right,1,1,1,-,-,-,Medium,Medium,57,52,51,58,29,52
D. Majumder,Debjit Majumder,56,25000,GK,GK,India,34,175,71,308,Chennaiyin FC,500,34000,GK,2026,24,2021,-,Right,2,1,1,-,-,-,Medium,Medium,54,51,47,60,40,56
B. Hemcke,Benjamin Hemcke,56,350000,"RM,CM",CAM,Germany,19,182,76,322,Viktoria Köln,650,578000,SUB,2025,34,2021,-,Right,2,2,1,-,-,-,Medium,Medium,64,42,50,58,51,57
A. Doumbouya,Amadou Doumbouya,56,350000,RW,RM,Guinea,19,173,67,306,Djurgårdens IF,950,656000,SUB,2026,25,2022,-,Right,3,3,1,-,-,-,High,Medium,76,48,48,62,22,50
P. Kouame,Prince Isaac Kouame,56,350000,"RW,LW",RM,Sweden,21,174,65,323,IF Elfsborg,850,656000,RES,2022,33,2020,-,Right,2,3,1,-,-,-,Medium,Medium,85,47,48,58,28,57
T. Rushesha,Tivonge Rushesha,56,350000,"RWB,RB",RWB,Wales,19,163,57,297,Swansea City,2000,884000,RES,2023,19,2018,-,Right,3,2,1,-,-,-,Medium,Medium,79,29,43,52,51,43
F. Díaz,Fernando Díaz,56,275000,LB,LB,Paraguay,21,180,73,299,Club Sol de América,500,646000,LB,2023,26,2022,-,Left,3,2,1,-,-,-,Medium,Medium,70,25,39,51,52,62
Lalruatthara,Lalruatthara Lalruatthara,56,140000,"LB,RB,CB",LB,India,27,184,76,318,Odisha FC,500,189000,RB,2023,39,2021,-,Left,4,2,1,-,-,-,Medium,Medium,77,35,40,52,52,62
H. Anhari,Hamza Anhari,56,325000,CAM,CAM,Morocco,18,178,72,305,MSV Duisburg,500,674000,RES,2025,8,2022,-,Right,4,3,1,-,-,-,High,Medium,70,43,47,62,30,53
D. Duncan,Dylan Duncan,56,325000,"CM,CAM",CAM,England,23,173,75,336,Finn Harps,500,569000,SUB,2023,56,2022,-,Right,3,3,1,-,-,-,Medium,Medium,71,48,58,60,48,51
N. Bassette,Norman Bassette,56,450000,ST,ST,Belgium,17,184,74,287,Stade Malherbe Caen,500,1200000,RES,2025,77,2021,-,Left,2,2,1,-,-,-,High,Low,68,55,39,50,19,56
Zhang Wei,Wei Zhang,56,325000,"ST,CB",ST,China PR,22,186,74,314,Hebei FC,2000,569000,ST,2023,38,2019,-,Right,2,2,1,-,-,-,Medium,Medium,54,51,46,54,46,63
M. Iminqari,Mutellip Iminqari,56,325000,"RW,CM,LW",RM,China PR,18,186,69,307,Chengdu Rongcheng F.C.,750,569000,SUB,2027,29,2022,-,Right,3,2,1,-,-,-,Medium,Medium,59,45,50,58,45,50
J. Neufville,Josh Neufville,56,325000,"RM,LM",ST,England,21,183,73,310,Sutton United,4000,0,RM,2023,20,2018,TRUE,Right,3,2,1,-,-,-,Medium,Medium,77,53,46,57,19,58
H. Cartwright,Harvey Cartwright,56,300000,GK,GK,England,20,191,82,302,Peterborough United,1000,0,SUB,2023,13,2019,TRUE,Right,3,1,1,-,-,-,Medium,Medium,56,58,53,58,25,52
B. Kalkan,Berat Kalkan,56,375000,"LW,RW",RM,North Macedonia,19,171,65,296,Kasimpaşa SK,2000,984000,RES,2026,41,2020,-,Right,4,2,1,-,-,-,Medium,Medium,66,54,50,61,31,34
D. Dumbravanu,Daniel Dumbravanu,56,300000,CB,CB,Moldova,20,192,66,291,APOEL Nicosia FC,500,720000,SUB,2025,40,2022,-,Left,3,2,1,-,-,-,Low,Medium,52,37,39,50,57,56
R. Zouhir,Rida Zouhir,56,350000,"CDM,CM",CAM,Morocco,18,178,72,342,Club de Foot Montréal,500,744000,SUB,2022,18,2020,-,Right,5,2,1,-,-,-,Medium,Medium,66,46,54,61,50,65
K. N'Mai,Kelly N'Mai,56,325000,"RW,RM,CAM",RM,Netherlands,18,168,63,307,Salford City,1000,772000,SUB,2023,30,2021,-,Right,3,3,1,-,-,-,Medium,Medium,85,47,49,60,27,39
O. Solnørdal,Oscar Solnørdal,56,350000,CM,CM,Norway,19,175,72,323,Aalesunds FK,500,656000,SUB,2023,20,2021,-,Right,2,2,1,-,-,-,Medium,Medium,63,46,53,56,52,53
J. McCracken,Jon McCracken,56,275000,GK,GK,Scotland,22,185,77,324,Bohemian FC,4000,0,GK,2022,40,2018,TRUE,Right,2,1,1,-,-,-,Medium,Medium,58,58,57,60,35,56
R. Van Hauter,Robbie Van Hauter,56,325000,CDM,CDM,Belgium,19,183,69,321,KAA Gent,2000,691000,RES,2024,28,2021,-,Right,3,2,1,-,-,-,Medium,Medium,64,38,52,59,54,54
S. Zawadzki,Sean Zawadzki,56,300000,CDM,CB,United States,22,175,72,333,Columbus Crew,1000,510000,SUB,2023,25,2022,-,Right,3,2,1,-,-,-,High,High,72,45,46,51,54,65
N. Al Meqhem,Nasser Al Meqhem,56,170000,"LM,CAM",LM,Saudi Arabia,25,170,60,301,Al Adalah,3000,293000,SUB,2025,15,2022,-,Left,2,2,1,-,-,-,Medium,Medium,71,47,53,55,32,43
S. Ostrzinski,Silas Ostrzinski,56,325000,GK,GK,Germany,18,198,93,306,Borussia Dortmund II,500,674000,SUB,2023,1,2021,-,Right,3,1,1,-,-,-,Medium,Medium,60,54,56,55,29,52
C. Üstündag,Cem Üstündag,56,325000,CM,CAM,Austria,21,170,61,319,WSG Tirol,1000,536000,RES,2025,20,2022,-,Right,2,2,1,-,-,-,Medium,Medium,67,44,54,65,43,46
M. Jawhar,Mansour Jawhar,56,130000,GK,GK,Saudi Arabia,27,178,64,320,Abha Club,2000,224000,RES,2024,33,2019,-,Right,3,1,1,-,-,-,Medium,Medium,55,58,52,56,44,55
A. Dahl,Anders Dahl,56,350000,CM,CM,Denmark,20,176,63,315,Silkeborg IF,1000,656000,SUB,2025,18,2021,-,Right,2,2,1,-,-,-,Medium,Medium,65,39,53,58,50,50
P. Müller,Pascal Müller,56,350000,CM,CAM,Austria,19,176,70,338,RZ Pellets Wolfsberger AC,2000,726000,RES,2025,14,2022,-,Right,3,2,1,-,-,-,Medium,Medium,61,53,57,57,54,56
Wang Xianjun,Xianjun Wang,56,325000,CB,CB,China PR,22,185,71,313,Dalian Professional Football Club,1000,707000,RES,2024,6,2018,-,Right,2,2,1,-,-,-,Medium,Medium,66,37,48,50,52,60
Álex Ramos,Alejandro Ramos Rodríguez,56,325000,CM,CDM,Spain,22,180,75,331,CD Lugo,1000,569000,RES,2023,36,2021,-,Right,3,2,1,-,-,-,Medium,Medium,61,43,58,58,57,54
Bao Yaxiong,Yaxiong Bao,56,160000,GK,GK,China PR,25,192,81,293,Hebei FC,1000,260000,GK,2022,30,2019,-,Right,1,1,1,-,-,-,Medium,Medium,59,52,55,56,20,51
T. Hume,Trai Hume,56,325000,RB,CB,Northern Ireland,20,180,85,322,Sunderland,2000,804000,RES,2026,32,2022,-,Right,2,2,1,-,-,-,Medium,Medium,66,37,45,53,54,67
O. Al Jadaani,Omar Al Jadaani,56,325000,LM,RM,Saudi Arabia,23,166,60,295,Al Ittihad,5000,618000,SUB,2024,28,2021,-,Right,3,2,1,-,-,-,Medium,Medium,71,52,48,57,26,41
M. Torlak,Mert Yusuf Torlak,56,350000,"CAM,CF",CAM,Germany,19,173,67,297,Aytemiz Alanyaspor,2000,919000,RES,2027,37,2022,-,Right,3,2,1,-,-,-,Medium,Medium,59,49,54,63,32,40
D. Gutierrez,Diego Gutierrez,56,325000,"CF,RM",CAM,United States,23,180,65,287,Portland Timbers,1000,553000,SUB,2022,16,2022,-,Right,3,3,1,-,-,-,High,Low,68,55,52,62,17,33
G. Cleur,Gabriel Cleur,56,190000,RB,RB,Australia,24,181,70,291,Western Sydney Wanderers,1000,252000,RB,2025,2,2022,-,Right,2,2,1,-,-,-,Medium,Medium,68,31,34,50,56,52
G. Dănuleasă,Gabriel Dănuleasă,56,350000,CB,CB,Romania,19,187,83,280,FC Farul Constanța,950,691000,SUB,2023,15,2021,-,Right,3,2,1,-,-,-,Low,High,62,24,36,37,55,66
P. Schulte,Patrick Schulte,56,275000,GK,GK,United States,21,193,79,290,Columbus Crew,650,468000,RES,2022,28,2022,-,Left,2,1,1,-,-,-,Medium,Medium,54,54,53,54,16,59
Zhang Jinliang,Jinliang Zhang,56,200000,"CB,LWB",CB,China PR,23,184,77,278,Guangzhou City,1000,350000,CB,2022,31,2020,-,Right,3,2,1,-,-,-,Medium,Medium,54,25,36,45,58,60
R. Burke,Ryan Burke,56,300000,LB,LB,Republic of Ireland,21,177,73,321,Bohemian FC,500,525000,SUB,2023,19,2022,-,Left,2,2,1,-,-,-,Medium,Medium,61,42,54,53,52,59
J. Bauer,Julian Bauer,56,190000,GK,GK,Germany,22,190,84,304,1. FC Saarbrücken,850,314000,RES,2023,13,2022,-,Right,3,1,1,-,-,-,Medium,Medium,58,56,51,59,27,53
M. Timlin,Mark Timlin,56,150000,LM,LM,Republic of Ireland,27,175,64,314,Finn Harps,500,233000,SUB,2022,10,2017,-,Left,4,3,1,-,-,-,Medium,Medium,53,55,56,59,48,43
E. Osam,Evan Osam,56,180000,LB,LB,Republic of Ireland,24,178,70,314,UCD AFC,500,293000,LB,2022,3,2017,-,Left,2,2,1,-,-,-,Medium,Medium,62,36,47,52,51,66
J. Nowakowski,Jakub Nowakowski,56,300000,CM,CM,Poland,20,176,69,321,Radomiak Radom,850,465000,SUB,2025,90,2018,-,Right,3,2,1,-,-,-,Medium,Medium,64,44,54,56,48,55
L. Brooks,Lleyton Brooks,56,325000,"RM,LM",RM,Australia,21,179,67,301,Melbourne Victory,1000,471000,SUB,2023,26,2020,-,Right,3,2,1,-,-,-,High,Medium,78,47,47,59,27,43
M. Søndergaard,Mads Søndergaard,56,350000,CM,CAM,Denmark,19,178,65,312,Viborg FF,1000,656000,SUB,2026,6,2020,-,Right,2,2,1,-,-,-,Medium,Medium,62,45,56,60,44,45
J. Ægidius,Jonathan Ægidius,56,300000,GK,GK,Denmark,20,185,71,306,Brøndby IF,1000,578000,SUB,2025,40,2021,-,Right,2,1,1,-,-,-,Medium,Medium,58,55,54,58,27,54
S. Liu,Shaoziyang Liu,56,300000,GK,GK,China PR,18,190,78,301,SK Austria Klagenfurt,500,623000,RES,2025,29,2022,-,Right,2,1,1,-,-,-,Medium,Medium,58,55,52,57,24,55
N. Tresoldi,Nicolo Tresoldi,56,450000,"ST,CF",ST,Italy,17,184,76,292,Hannover 96,950,1200000,ST,2026,23,2021,-,Right,3,2,1,-,-,-,High,Medium,65,54,40,57,21,55
L. Zbinden,Leandro Zbinden,56,325000,GK,GK,Switzerland,19,187,83,311,BSC Young Boys,1000,691000,SUB,2023,61,2021,-,Right,3,1,1,-,-,-,Medium,Medium,60,56,60,58,21,56
J. Vetro,Julien Vetro,56,400000,ST,CAM,France,18,178,70,300,FC Girondins de Bordeaux,650,1100000,RES,2025,20,2022,-,Right,3,2,1,-,-,-,Medium,Medium,66,57,46,60,20,51
V. Singh,Vikram Singh,56,325000,"RM,ST,LM",RM,India,20,173,63,306,Mumbai City FC,500,504000,SUB,2023,6,2020,-,Right,3,2,1,-,-,-,Medium,Medium,79,51,47,58,24,47
D. Tibell,Darrell Kamdem Tibell,56,350000,ST,ST,Sweden,20,180,72,299,IFK Norrköping,1000,656000,SUB,2024,33,2022,-,Right,3,2,1,-,-,-,Medium,Medium,75,55,42,54,19,54
G. Quilichini,Ghjuvanni Quilichini,56,275000,GK,GK,France,19,185,79,311,AC Ajaccio,900,605000,RES,2023,30,2021,-,Right,2,1,1,-,-,-,Medium,Medium,54,52,58,63,25,59
C. Etoga,Cyril Etoga,56,325000,"CDM,CM",CB,Cameroon,19,186,71,317,Dijon FCO,650,634000,RES,2024,29,2022,-,Right,2,2,1,-,-,-,Medium,High,55,43,49,53,57,60
M. Singh,Mehtab Singh,56,200000,"CB,RB",CB,India,24,180,73,282,Mumbai City FC,500,310000,SUB,2023,5,2020,-,Right,3,2,1,-,-,-,Medium,Medium,67,25,32,34,56,68
L. Schulz,Lasse Schulz,56,300000,GK,GK,Finland,19,198,84,304,SpVgg Greuther Fürth,550,668000,SUB,2024,41,2021,-,Right,3,1,1,-,-,-,Medium,Medium,57,60,57,56,20,54
K. Szmyt,Kajetan Szmyt,56,325000,"LM,RM",RM,Poland,20,171,68,291,Warta Poznań,550,504000,SUB,2023,24,2019,-,Right,2,2,1,-,-,-,Medium,Low,69,42,53,58,30,39
M. Olagunju,Mustapha Olagunju,56,325000,CB,CB,England,20,189,76,274,Huddersfield Town,2000,666000,RES,2024,35,2018,-,Right,2,2,1,-,-,-,Medium,Medium,63,25,28,35,57,66
P. Sutter,Patrick Sutter,56,300000,RB,RM,Switzerland,23,172,72,327,FC St. Gallen 1879,2000,495000,RB,2024,30,2021,-,Right,2,2,1,-,-,-,Medium,Medium,65,53,51,57,53,48
S. Temel,Selimcan Temel,56,300000,"CDM,CM",RB,Turkey,22,173,62,318,Atakaş Hatayspor,2000,660000,RES,2026,16,2022,-,Right,4,2,1,-,-,-,Medium,Medium,65,42,55,56,53,47
N. van Haveren,Nigel van Haveren,56,325000,GK,GK,Netherlands,18,190,80,306,Vitesse,500,691000,RES,2023,60,2022,-,Right,3,1,1,-,-,-,Medium,Medium,58,56,53,53,29,57
Kang Eui Bin,Eui Bin Kang,56,300000,CB,CB,Korea Republic,24,189,86,279,Seongnam FC,800,435000,RES,2026,4,2021,-,Right,3,2,1,-,-,-,Medium,Medium,61,25,29,39,56,69
O. Olsson,Oliver Olsson,56,350000,CB,CB,Denmark,19,189,80,280,Aarhus GF,1000,656000,RES,2026,44,2022,-,Right,3,2,1,-,-,-,Medium,Low,69,23,32,36,55,65
Q. McNeill,Quinn McNeill,56,220000,"CM,CDM",CM,Republic of Ireland,23,180,73,308,Charlotte FC,1000,363000,CM,2023,35,2022,-,Right,3,2,1,-,-,-,High,High,56,43,53,55,49,52
S. Trimboli,Simone Trimboli,56,350000,CM,CAM,Italy,20,176,76,327,U.C. Sampdoria,2000,849000,RES,2024,70,2021,-,Right,2,2,1,-,-,-,Medium,Medium,58,48,57,61,49,54
R. Rikal,Ronny Rikal,56,375000,LM,CAM,Austria,19,185,70,304,SC Rheindorf Altach,1000,778000,RES,2024,37,2021,-,Right,3,3,1,-,-,-,Medium,Medium,62,51,55,60,29,47
A. McFadden,Aiden McFadden,56,300000,"RB,RWB,RM",RM,United States,23,175,75,328,Atlanta United,1000,510000,SUB,2023,37,2022,-,Right,4,3,1,-,-,-,High,High,61,53,46,61,56,51
E. Adams,Eli Adams,56,325000,CAM,CAM,Australia,20,180,70,312,Melbourne Victory,1000,471000,SUB,2023,29,2022,-,Left,3,3,1,-,-,-,High,Low,70,40,49,67,32,54
